,state_in,input_in,state_pred,state_out,timestamp,dt
0,"[-4.50002, 5.49994, 0.986047, 0.994608, 0.0323902, -0.00892397, -0.0981125, -0.00202818, -0.00531724, -0.382233, 2.70508, -0.484395, -0.021391]","[0.13422470588235294, 0.1709894117647059, 0.11394470588235295, 0.17360823529411765]","[-4.5009, 5.49763, 0.959564, 0.979736, 0.168894, -0.0436767, -0.0984063, -0.0366997, -0.0973219, -0.475844, 5.93595, -0.828912, -0.119335]","[-4.50091, 5.49763, 0.95999, 0.979736, 0.168894, -0.0436767, -0.0984063, -0.0367212, -0.0973005, -0.461633, 5.93595, -0.828912, -0.119335]",0.06,0.0
1,"[-4.50091, 5.49763, 0.95999, 0.979736, 0.168894, -0.0436767, -0.0984063, -0.0367212, -0.0973005, -0.461633, 5.93595, -0.828912, -0.119335]","[0.21800705882352941, 0.22043882352941174, 0.2035, 0.20240235294117648]","[-4.506, 5.48388, 0.930973, 0.935794, 0.328011, -0.0826431, -0.0993414, -0.14425, -0.391008, -0.5102, 5.32407, -0.835207, -0.249214]","[-4.50598, 5.48395, 0.931397, 0.935794, 0.328011, -0.0826431, -0.0993414, -0.143046, -0.387494, -0.496648, 5.32407, -0.835207, -0.249214]",0.12,0.06
2,"[-4.50598, 5.48395, 0.931397, 0.935794, 0.328011, -0.0826431, -0.0993414, -0.143046, -0.387494, -0.496648, 5.32407, -0.835207, -0.249214]","[0.2524411764705882, 0.25236470588235294, 0.2347541176470588, 0.23176705882352944]","[-4.51988, 5.4465, 0.898765, 0.886043, 0.436354, -0.114952, -0.106346, -0.330781, -0.88237, -0.598949, 2.99607, -0.899963, -0.37778]","[-4.51975, 5.44686, 0.899123, 0.886043, 0.436354, -0.114952, -0.106346, -0.325643, -0.86807, -0.587451, 2.99607, -0.899963, -0.37778]",0.18,0.06
3,"[-4.51975, 5.44686, 0.899123, 0.886043, 0.436354, -0.114952, -0.106346, -0.325643, -0.86807, -0.587451, 2.99607, -0.899963, -0.37778]","[0.29203411764705883, 0.2876141176470588, 0.2743258823529412, 0.2672717647058823]","[-4.54734, 5.37519, 0.859976, 0.860791, 0.475281, -0.134181, -0.123049, -0.605525, -1.53591, -0.711925, 0.371274, -0.668167, -0.50341]","[-4.54702, 5.37605, 0.860307, 0.860791, 0.475281, -0.134181, -0.123049, -0.593454, -1.50448, -0.701129, 0.371274, -0.668167, -0.50341]",0.24,0.06
4,"[-4.54702, 5.37605, 0.860307, 0.860791, 0.475281, -0.134181, -0.123049, -0.593454, -1.50448, -0.701129, 0.371274, -0.668167, -0.50341]","[0.35314, 0.3486164705882353, 0.33367411764705884, 0.32528705882352943]","[-4.59368, 5.26177, 0.816136, 0.86771, 0.454863, -0.135381, -0.147823, -0.970433, -2.3091, -0.747626, -1.70578, -0.334352, -0.621968]","[-4.59307, 5.26324, 0.816444, 0.86771, 0.454863, -0.135381, -0.147823, -0.948977, -2.25752, -0.737942, -1.70578, -0.334352, -0.621968]",0.3,0.06
5,"[-4.59307, 5.26324, 0.816444, 0.86771, 0.454863, -0.135381, -0.147823, -0.948977, -2.25752, -0.737942, -1.70578, -0.334352, -0.621968]","[0.42252823529411765, 0.4182141176470588, 0.4021517647058823, 0.39675176470588236]","[-4.66335, 5.10142, 0.775329, 0.892274, 0.399291, -0.117423, -0.175001, -1.39201, -3.12548, -0.597568, -2.55069, 0.17144, -0.736407]","[-4.66243, 5.1035, 0.77552, 0.892274, 0.399291, -0.117423, -0.175001, -1.36026, -3.05417, -0.59245, -2.55069, 0.17144, -0.736407]",0.36,0.06
6,"[-4.66243, 5.1035, 0.77552, 0.892274, 0.399291, -0.117423, -0.175001, -1.36026, -3.05417, -0.59245, -2.55069, 0.17144, -0.736407]","[0.4822858823529412, 0.48097529411764706, 0.4627011764705882, 0.46078470588235293]","[-4.75768, 4.89374, 0.750534, 0.916669, 0.338631, -0.0782375, -0.197296, -1.79874, -3.92065, -0.205139, -2.35969, 0.975891, -0.84872]","[-4.75647, 4.89637, 0.750467, 0.916669, 0.338631, -0.0782375, -0.197296, -1.75779, -3.83171, -0.209273, -2.35969, 0.975891, -0.84872]",0.42,0.06
7,"[-4.75647, 4.89637, 0.750467, 0.916669, 0.338631, -0.0782375, -0.197296, -1.75779, -3.83171, -0.209273, -2.35969, 0.975891, -0.84872]","[0.53708, 0.5385388235294117, 0.5211682352941176, 0.5193152941176471]","[-4.87304, 4.64017, 0.756282, 0.932196, 0.293391, -0.0154598, -0.211409, -2.09638, -4.69675, 0.431855, -1.74193, 1.93645, -0.956732]","[-4.87162, 4.64331, 0.755803, 0.932196, 0.293391, -0.0154598, -0.211409, -2.04901, -4.59096, 0.413273, -1.74193, 1.93645, -0.956732]",0.48,0.06
8,"[-4.87162, 4.64331, 0.755803, 0.932196, 0.293391, -0.0154598, -0.211409, -2.04901, -4.59096, 0.413273, -1.74193, 1.93645, -0.956732]","[0.5983458823529412, 0.6002964705882353, 0.585684705882353, 0.5822505882352942]","[-4.99978, 4.34035, 0.805912, 0.936043, 0.266703, 0.0678225, -0.219299, -2.17651, -5.50477, 1.27326, -1.24983, 2.63718, -1.05413]","[-4.99828, 4.34405, 0.804846, 0.936043, 0.266703, 0.0678225, -0.219299, -2.12774, -5.38045, 1.23454, -1.24983, 2.63718, -1.05413]",0.54,0.06000000000000005
9,"[-4.99828, 4.34405, 0.804846, 0.936043, 0.266703, 0.0678225, -0.219299, -2.12774, -5.38045, 1.23454, -1.24983, 2.63718, -1.05413]","[0.665130588235294, 0.6640670588235293, 0.6537070588235294, 0.6498611764705882]","[-5.12199, 3.99101, 0.909133, 0.928917, 0.246185, 0.161624, -0.224465, -1.93961, -6.38628, 2.24211, -1.26218, 2.82879, -1.12862]","[-5.12065, 3.99534, 0.907336, 0.928917, 0.246185, 0.161624, -0.224465, -1.89741, -6.24058, 2.17905, -1.26218, 2.82879, -1.12862]",0.6,0.05999999999999994
